,Name,Transmission type,Variant,Mileage,Owned,Fuel type,City,Price
0,2020 Hyundai Verna,Manual,S PETROL MT Manual,"19,158 km",1st Owner,Petrol,Rohtak,"₹9,24,099"
1,2014 Hyundai Verna,Manual,FLUIDIC 1.4 CRDI CX Manual,"44,585 km",2nd Owner,Diesel,Rohtak,"₹5,46,099"
2,2018 Maruti Baleno,Manual,ZETA 1.2 K12 Manual,"9,483 km",2nd Owner,Petrol,Rohtak,"₹6,15,199"
3,2016 Maruti Ertiga,Manual,VDI SHVS Manual,"94,362 km",1st Owner,Diesel,Rohtak,"₹5,84,199"
4,2017 Hyundai Creta,Manual,1.6 E + VTVT Manual,"17,227 km",2nd Owner,Petrol,Rohtak,"₹8,12,299"
5,2014 Hyundai Xcent,Manual,S 1.2 Manual,"63,251 km",1st Owner,Petrol,Rohtak,"₹3,45,299"
6,2017 Maruti Swift Dzire,Manual,LDI BS IV Manual,"35,557 km",1st Owner,Diesel,Rohtak,"₹4,38,799"
7,2019 Maruti Vitara Brezza,Manual,VDI Manual,"37,696 km",1st Owner,Diesel,Rohtak,"₹7,80,299"
8,2020 Hyundai Creta,Manual,SX PETROL MT Manual,"10,671 km",1st Owner,Petrol,Rohtak,"₹13,66,899"
9,2017 Maruti Ciaz,Manual,VDI+ SHVS Manual,"1,07,013 km",1st Owner,Diesel,Rohtak,"₹5,35,599"
10,2018 Hyundai Grand i10,Manual,MAGNA 1.2 KAPPA VTVT Manual,"15,754 km",2nd Owner,Petrol,Rohtak,"₹4,53,899"
11,2013 Maruti Alto K10,Manual,VXI Manual,"16,372 km",1st Owner,Petrol,Rohtak,"₹2,64,599"
12,2017 Maruti Dzire,Manual,VDI Manual,"71,701 km",1st Owner,Diesel,Rohtak,"₹5,25,899"
13,2020 KIA SONET,,HTK+ 1.5 D AT,"7,375 km",1st Owner,Diesel,Rohtak,"₹11,00,699"
14,2018 Ford Figo Aspire,Manual,1.2 TITANIUM PETROL Manual,"28,419 km",1st Owner,Petrol,Rohtak,"₹5,32,299"
15,2017 Maruti Wagon R 1.0,Manual,VXI Manual,"55,482 km",1st Owner,Petrol,Rohtak,"₹3,49,999"
16,2017 Maruti Swift,Manual,VXI Manual,"46,758 km",1st Owner,Petrol,Rohtak,"₹4,78,599"
17,2016 Mahindra TUV300,Manual,T8 Manual,"45,627 km",1st Owner,Diesel,Rohtak,"₹5,39,399"
18,2019 Maruti Swift,Manual,VXI Manual,"14,959 km",1st Owner,Petrol,Rohtak,"₹5,91,999"
19,2017 Maruti Alto 800,Manual,LXI Manual,"24,926 km",1st Owner,Petrol,Rohtak,"₹2,93,199"
20,2018 Maruti Vitara Brezza,Manual,VDI Manual,"82,601 km",1st Owner,Diesel,Rohtak,"₹6,58,499"
21,2015 Maruti Swift,Manual,VDI ABS Manual,"37,925 km",1st Owner,Diesel,Rohtak,"₹4,28,999"
22,2016 Audi A3,Automatic,40 TFSI PREMIUM Automatic,"76,786 km",1st Owner,Petrol,Rohtak,"₹18,21,199"
23,2019 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"20,976 km",1st Owner,Petrol,Rohtak,"₹7,29,999"
24,2017 Hyundai Elite i20,Manual,SPORTZ 1.2 Manual,"18,599 km",1st Owner,Petrol,Rohtak,"₹5,49,899"
25,2016 Maruti Swift Dzire,,VDI ABS,"79,048 km",2nd Owner,Diesel,Rohtak,"₹5,29,699"
26,2019 Maruti Swift,Manual,VXI Manual,"25,529 km",1st Owner,Petrol,Rohtak,"₹5,43,199"
27,2013 Ford Ecosport,Manual,1.5 AMBIENTE TDCI Manual,"1,13,857 km",1st Owner,Diesel,Rohtak,"₹4,05,299"
28,2017 Maruti Dzire,Manual,VDI Manual,"91,724 km",1st Owner,Diesel,Rohtak,"₹5,51,699"
29,2016 Maruti Vitara Brezza,Manual,VDI Manual,"70,372 km",1st Owner,Diesel,Rohtak,"₹6,06,999"
30,2019 Honda Civic,Automatic,VX CVT i-VTEC Automatic,"15,416 km",1st Owner,Petrol,Rohtak,"₹15,35,999"
31,2015 Hyundai Creta,Automatic,1.6 CRDI SX PLUS AUTO Automatic,"1,33,099 km",1st Owner,Diesel,Rohtak,"₹8,13,599"
32,2016 Maruti Vitara Brezza,Manual,VDI OPT Manual,"98,517 km",1st Owner,Diesel,Rohtak,"₹6,85,499"
33,2019 Mahindra Thar,Manual,CRDE 4X4 BS IV Manual,"13,016 km",1st Owner,Diesel,Rohtak,"₹9,55,099"
34,2020 Maruti Swift,Manual,LXI Manual,"4,096 km",1st Owner,Petrol,Rohtak,"₹5,55,399"
35,2014 Maruti Ciaz,Manual,VDI PLUS Manual,"62,366 km",1st Owner,Diesel,Rohtak,"₹5,32,699"
36,2013 Toyota Fortuner,Manual,3.0 MT 4X2 Manual,"76,953 km",1st Owner,Diesel,Rohtak,"₹12,82,599"
37,2016 Maruti Vitara Brezza,Manual,ZDI Manual,"70,555 km",2nd Owner,Diesel,Rohtak,"₹6,57,499"
38,2017 Maruti IGNIS,Manual,ALPHA 1.2 K12 Manual,"34,135 km",1st Owner,Petrol,Rohtak,"₹5,08,499"
39,2017 Maruti Dzire,Manual,VDI Manual,"1,09,291 km",1st Owner,Diesel,Rohtak,"₹5,53,999"
40,2017 Maruti Swift,Manual,VXI Manual,"25,626 km",1st Owner,Petrol,Rohtak,"₹5,49,699"
41,2015 Maruti Ciaz,Manual,VDI+ SHVS Manual,"1,21,025 km",2nd Owner,Diesel,Rohtak,"₹5,04,499"
42,2018 Hyundai Tucson New,Automatic,2WD AT GL DIESEL Automatic,"58,368 km",1st Owner,Diesel,Rohtak,"₹19,87,099"
43,2016 Skoda Superb,Automatic,1.8 TSI LK AT Automatic,"38,718 km",3rd Owner,Petrol,Rohtak,"₹16,80,599"
44,2018 Maruti Swift,Manual,LXI Manual,"12,659 km",1st Owner,Petrol,Rohtak,"₹4,55,399"
45,2014 Toyota Innova,Manual,2.5 GX 7 STR BS IV Manual,"86,859 km",1st Owner,Diesel,Rohtak,"₹7,08,499"
46,2019 Hyundai VENUE,Manual,SX(O) CRDi Manual,"25,835 km",1st Owner,Diesel,Rohtak,"₹10,14,499"
47,2018 Maruti Ertiga,Manual,VDI SHVS Manual,"69,993 km",1st Owner,Diesel,Rohtak,"₹7,50,299"
48,2021 Maruti Baleno,Manual,ZETA 1.2 K12 Manual,"11,162 km",1st Owner,Petrol,Rohtak,"₹7,69,599"
49,2019 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"9,870 km",1st Owner,Petrol,Rohtak,"₹6,03,199"
50,2015 Maruti Swift,Manual,VXI Manual,"41,046 km",2nd Owner,Petrol,Rohtak,"₹3,98,199"
51,2020 Maruti S PRESSO,Manual,VXI PLUS Manual,"17,058 km",1st Owner,Petrol,Rohtak,"₹4,20,299"
52,2019 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"13,973 km",1st Owner,Petrol,Rohtak,"₹6,40,599"
53,2020 Maruti S PRESSO,Manual,VXI PLUS Manual,"15,934 km",1st Owner,Petrol,Rohtak,"₹4,16,199"
54,2018 Hyundai New Elantra,Automatic,1.6 SX AT O Automatic,"44,347 km",1st Owner,Diesel,Rohtak,"₹15,38,199"
55,2017 Hyundai Creta,Automatic,1.6 CRDI SX PLUS AUTO Automatic,"82,907 km",1st Owner,Diesel,Rohtak,"₹10,82,399"
56,2017 Maruti Wagon R 1.0,Automatic,VXI AMT Automatic,"12,808 km",2nd Owner,Petrol,Rohtak,"₹4,00,799"
57,2018 Maruti Swift,Manual,ZXI PLUS AMT Manual,"28,636 km",1st Owner,Petrol,Rohtak,"₹6,13,699"
58,2019 Maruti Alto,Manual,VXI Manual,"13,299 km",1st Owner,Petrol,Rohtak,"₹3,58,999"
